step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi,h_ave
1,23000000,2788,19.0,9.67199,6.8032,14.7723,-7.5331,0.3275,0.0,0.0,0.0,0.0,0.0,0.0,4.122464864864865
1,23000000,2787,19.0,9.32081,6.64633,14.7936,-8.676,-0.8154,0.0,0.0,0.0,0.0,0.0,0.0,4.749110666666667
1,23000000,2786,19.0,9.23635,6.42212,14.4775,-10.8191,-2.9585,0.0,0.0,0.0,0.0,0.0,0.0,5.378916666666666
1,23000000,7290,49.0,11.5523,5.85767,14.6808,-6.9874,0.8733,0.0,0.0,0.0,0.0,0.0,0.0,5.908539473684212
1,23000000,7241,49.0,5.01406,1.39495,4.13203,6.8164,14.677,0.0,0.0,0.0,0.0,0.0,0.0,8.649607246376812
1,23000000,3612,25.0,15.0918,2.13061,8.81491,-7.6709,0.1897,0.0,0.0,0.0,0.0,0.0,0.0,4.611541176470588
1,23000000,7288,49.0,11.9697,6.22954,15.017,-0.191,7.6696,0.0,0.0,0.0,0.0,0.0,0.0,4.10912
1,23000000,7293,49.0,11.0282,5.08433,14.302,2.8135,10.6741,0.0,0.0,0.0,0.0,0.0,0.0,7.900282432432433
1,23000000,7294,49.0,10.6552,4.99228,14.2553,0.9991,8.8597,0.0,0.0,0.0,0.0,0.0,0.0,8.274636363636363
1,23000000,7289,49.0,11.9139,5.87096,14.8466,-2.5531,5.3075,0.0,0.0,0.0,0.0,0.0,0.0,5.510643661971833
1,23000000,911,7.0,3.77064,3.15944,3.07645,-0.645,7.2157,0.0,0.0,0.0,0.0,0.0,0.0,10.829663380281689
1,23000000,912,7.0,4.08973,3.14134,2.8581,-0.0177,7.8429,0.0,0.0,0.0,0.0,0.0,0.0,10.3563875
1,23000000,1330,9.0,14.3873,9.29615,2.6216,-5.4442,2.4164,0.0,0.0,0.0,0.0,0.0,0.0,6.587661333333334
1,23000000,3614,25.0,14.8373,2.54975,8.34923,-3.5205,4.3401,0.0,0.0,0.0,0.0,0.0,0.0,5.1008000000000004
1,23000000,3616,25.0,14.6389,2.93102,7.83298,1.9019,9.7625,0.0,0.0,0.0,0.0,0.0,0.0,5.574857692307693
1,23000000,3613,25.0,15.1424,2.35311,8.49767,-10.4599,-2.5993,0.0,0.0,0.0,0.0,0.0,0.0,4.924241791044776
1,23000000,3611,25.0,15.4161,1.9687,8.95907,-5.0705,2.7901,0.0,0.0,0.0,0.0,0.0,0.0,4.20223064516129
1,23000000,3615,25.0,14.9089,2.72247,7.99645,4.426,12.2866,0.0,0.0,0.0,0.0,0.0,0.0,5.33806447368421
1,23000000,7292,49.0,11.1139,5.43645,14.4407,-8.1066,-0.246,0.0,0.0,0.0,0.0,0.0,0.0,7.026242666666666
1,23000000,7291,49.0,11.4977,5.51336,14.513,-7.0487,0.8119,0.0,0.0,0.0,0.0,0.0,0.0,6.813083783783784
1,23000000,3151,22.0,0.473921,4.32636,5.7074,-22.9452,-15.0846,0.0,0.0,0.0,0.0,0.0,0.0,7.531421428571428
1,23000000,7419,50.0,9.32158,2.41862,7.40946,-8.6537,-0.7931,0.0,0.0,0.0,0.0,0.0,0.0,8.887835135135134
1,23000000,7246,49.0,4.58816,1.42485,2.90013,-1.2902,6.5704,0.0,0.0,0.0,0.0,0.0,0.0,8.911480303030302
1,23000000,7237,49.0,5.30462,2.1005,4.83022,5.3702,13.2308,0.0,0.0,0.0,0.0,0.0,0.0,9.987310000000003
1,23000000,6986,47.0,13.9288,5.74996,13.4977,3.249,11.1096,0.0,0.0,0.0,0.0,0.0,0.0,8.460872222222223
