step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi
0,22990000,1160,8.0,16.0058,3.0918,4.72875,-5.3923,-0.7312,0,0,0,0,0,0
0,22990000,1161,8.0,15.7958,3.4196,4.677,-8.5409,-3.8798,0,0,0,0,0,0
0,22990000,1164,8.0,15.8154,4.32919,5.08682,-1.357,3.3041,0,0,0,0,0,0
0,22990000,1146,8.0,3.73671,0.914017,4.86123,6.8827,11.5437,0,0,0,0,0,0
0,22990000,1166,8.0,15.7513,4.88692,5.38086,-0.2366,4.4244,0,0,0,0,0,0
0,22990000,2627,18.0,3.28423,1.47639,5.98979,-2.0486,2.6125,0,0,0,0,0,0
0,22990000,1167,8.0,15.9,5.14502,5.13857,2.1524,6.8134,0,0,0,0,0,0
0,22990000,1144,8.0,4.11275,0.427863,4.994,-0.4951,4.1659,0,0,0,0,0,0
0,22990000,1147,8.0,3.64327,1.24741,4.70251,6.6261,11.2872,0,0,0,0,0,0
0,22990000,1145,8.0,4.11298,0.794129,4.86271,-1.6079,3.0532,0,0,0,0,0,0
0,22990000,1150,8.0,3.16728,1.84824,4.80852,-2.1254,2.5356,0,0,0,0,0,0
0,22990000,1215,9.0,0.913907,3.01484,5.86496,-5.4933,-0.8322,0,0,0,0,0,0
0,22990000,1143,8.0,4.46193,16.0684,5.02375,-1.5099,3.1511,0,0,0,0,0,0
0,22990000,1148,8.0,3.75909,1.58112,4.86613,-0.4417,4.2193,0,0,0,0,0,0
0,22990000,8544,57.0,13.9509,5.06513,9.46391,-5.1869,-0.5258,0,0,0,0,0,0
0,22990000,8543,57.0,14.0479,4.69917,9.57264,-7.7655,-3.1045,0,0,0,0,0,0
0,22990000,2047,14.0,1.97762,6.71359,12.4525,6.9472,11.6082,0,0,0,0,0,0
0,22990000,2623,18.0,4.40985,1.74268,6.44659,16.2622,20.9233,0,0,0,0,0,0
0,22990000,5381,36.0,15.2801,1.67679,12.6783,11.7935,16.4546,0,0,0,0,0,0
0,22990000,8542,57.0,14.2687,4.68752,9.90726,1.1974,5.8585,0,0,0,0,0,0
0,22990000,2621,18.0,4.82878,1.38963,6.76975,10.7277,15.3888,0,0,0,0,0,0
0,22990000,5380,36.0,15.1661,1.34313,12.5441,15.3118,19.9728,0,0,0,0,0,0
0,22990000,2624,18.0,4.04926,1.84822,6.45825,15.738,20.3991,0,0,0,0,0,0
0,22990000,2622,18.0,4.46648,1.49912,6.75551,12.0305,16.6916,0,0,0,0,0,0
0,22990000,5377,36.0,15.1873,16.1231,12.6775,3.2009,7.862,0,0,0,0,0,0
0,22990000,5378,36.0,15.0536,0.683543,12.5502,4.7363,9.3973,0,0,0,0,0,0
0,22990000,5379,36.0,15.1976,0.99698,12.7427,2.3316,6.9927,0,0,0,0,0,0
0,22990000,5376,36.0,15.0326,15.8175,12.4954,3.8768,8.5379,0,0,0,0,0,0
0,22990000,7297,49.0,10.6428,4.6078,13.8129,12.4839,17.1449,0,0,0,0,0,0
0,22990000,7299,49.0,10.236,4.18906,13.5079,-0.0755,4.5855,0,0,0,0,0,0
0,22990000,7298,49.0,10.2959,4.40776,13.8368,3.1047,7.7658,0,0,0,0,0,0
0,22990000,204,2.0,5.43147,9.41003,1.02198,-2.6448,2.0162,0,0,0,0,0,0
0,22990000,816,6.0,4.51888,2.22471,10.3135,-6.1087,-1.4477,0,0,0,0,0,0
0,22990000,1174,8.0,15.7939,6.82769,6.16608,1.206,5.8671,0,0,0,0,0,0
0,22990000,2619,18.0,5.47513,1.55219,6.71857,8.2767,12.9378,0,0,0,0,0,0
0,22990000,2620,18.0,5.11165,1.63957,6.84429,4.755,9.4161,0,0,0,0,0,0
0,22990000,2618,18.0,5.65856,1.27406,6.94771,5.583,10.244,0,0,0,0,0,0
0,22990000,1171,8.0,15.717,6.2363,5.34803,-2.8058,1.8553,0,0,0,0,0,0
0,22990000,1169,8.0,16.0966,5.77055,5.06435,-1.1848,3.4763,0,0,0,0,0,0
0,22990000,1168,8.0,15.9575,5.4912,5.28844,3.5775,8.2385,0,0,0,0,0,0
0,22990000,1170,8.0,16.0818,6.13008,5.23599,1.1809,5.8419,0,0,0,0,0,0
0,22990000,1172,8.0,15.7249,6.5564,5.58369,-2.7004,1.9606,0,0,0,0,0,0
0,22990000,1173,8.0,15.805,6.49558,5.95565,2.1484,6.8095,0,0,0,0,0,0
0,22990000,203,2.0,5.11599,9.51254,1.22212,2.1508,6.8118,0,0,0,0,0,0
0,22990000,2613,18.0,6.24189,0.759095,8.12438,3.3003,7.9614,0,0,0,0,0,0
0,22990000,2615,18.0,5.83418,0.898019,7.6091,-5.2298,-0.5687,0,0,0,0,0,0
0,22990000,2050,14.0,1.51494,7.43686,12.9744,-2.5409,2.1202,0,0,0,0,0,0
0,22990000,1175,8.0,15.9803,6.77955,6.50079,-3.2606,1.4004,0,0,0,0,0,0
0,22990000,2658,18.0,14.3099,6.22231,4.20742,-3.6527,1.0084,0,0,0,0,0,0
0,22990000,1176,8.0,15.9175,6.42913,6.66898,-7.4563,-2.7952,0,0,0,0,0,0
0,22990000,775,6.0,10.2457,12.592,7.28593,5.4844,10.1454,0,0,0,0,0,0
0,22990000,773,6.0,10.8178,12.6978,7.51654,6.5879,11.249,0,0,0,0,0,0
0,22990000,776,6.0,9.84483,12.6286,7.29331,3.1651,7.8262,0,0,0,0,0,0
0,22990000,774,6.0,10.4384,12.7627,7.58755,11.2829,15.944,0,0,0,0,0,0
0,22990000,772,6.0,11.0279,12.8417,7.819,9.9287,14.5897,0,0,0,0,0,0
0,22990000,771,6.0,10.8349,13.0757,8.05184,12.8652,17.5262,0,0,0,0,0,0
0,22990000,201,2.0,4.51807,9.82129,1.24177,-5.7953,-1.1343,0,0,0,0,0,0
0,22990000,206,2.0,6.01964,9.65316,0.846807,-7.3704,-2.7093,0,0,0,0,0,0
0,22990000,2051,14.0,1.15798,7.6043,12.9431,-5.7547,-1.0937,0,0,0,0,0,0
0,22990000,209,2.0,6.6762,10.2929,1.2096,-2.4263,2.2348,0,0,0,0,0,0
0,22990000,2635,18.0,0.896678,1.4392,4.9136,3.6132,8.2742,0,0,0,0,0,0
0,22990000,212,2.0,7.21345,10.7884,1.93991,-8.7804,-4.1193,0,0,0,0,0,0
0,22990000,211,2.0,7.0028,10.7345,1.61227,-10.4863,-5.8253,0,0,0,0,0,0
0,22990000,202,2.0,4.85034,9.75146,1.03666,1.3614,6.0225,0,0,0,0,0,0
0,22990000,207,2.0,6.26018,9.95365,0.856206,-6.3309,-1.6699,0,0,0,0,0,0
0,22990000,1149,8.0,3.55678,1.8992,4.74765,0.8114,5.4725,0,0,0,0,0,0
0,22990000,208,2.0,6.46669,9.97728,1.19475,1.0634,5.7245,0,0,0,0,0,0
0,22990000,2632,18.0,1.75748,1.66546,5.36273,-9.2501,-4.5891,0,0,0,0,0,0
0,22990000,782,6.0,8.36498,13.6226,7.08621,7.8331,12.4942,0,0,0,0,0,0
0,22990000,2656,18.0,14.02,5.65495,4.00342,3.8146,8.4757,0,0,0,0,0,0
0,22990000,196,2.0,3.31901,10.5867,0.670797,5.4326,10.0936,0,0,0,0,0,0
0,22990000,777,6.0,9.75644,12.9771,7.12777,1.0608,5.7218,0,0,0,0,0,0
0,22990000,199,2.0,4.13234,9.98724,0.714322,8.2375,12.8985,0,0,0,0,0,0
0,22990000,1156,8.0,1.35046,2.49916,4.6099,-5.3753,-0.7143,0,0,0,0,0,0
0,22990000,1158,8.0,0.743262,2.75748,4.6319,1.4008,6.0619,0,0,0,0,0,0
0,22990000,824,6.0,3.38147,3.72174,8.47039,-11.1408,-6.4797,0,0,0,0,0,0
0,22990000,780,6.0,9.00516,13.634,6.9644,1.3061,5.9672,0,0,0,0,0,0
0,22990000,819,6.0,4.21283,2.90626,9.65762,-7.4627,-2.8016,0,0,0,0,0,0
0,22990000,2614,18.0,6.05844,0.635121,7.79863,-6.5332,-1.8721,0,0,0,0,0,0
0,22990000,2628,18.0,2.93498,1.6478,5.93671,-2.2968,2.3642,0,0,0,0,0,0
0,22990000,2629,18.0,2.67357,1.46601,5.72328,-0.3597,4.3013,0,0,0,0,0,0
0,22990000,2630,18.0,2.34021,1.67255,5.63538,-5.354,-0.6929,0,0,0,0,0,0
0,22990000,2611,18.0,6.28204,16.0111,8.50847,7.4549,12.116,0,0,0,0,0,0
0,22990000,821,6.0,3.88579,3.25093,9.22564,-8.6428,-3.9817,0,0,0,0,0,0
0,22990000,778,6.0,9.38254,13.1127,7.14269,5.9793,10.6403,0,0,0,0,0,0
0,22990000,2048,14.0,1.89293,6.93056,12.7543,3.1388,7.7998,0,0,0,0,0,0
0,22990000,1157,8.0,1.13203,2.82068,4.59524,-0.5164,4.1446,0,0,0,0,0,0
0,22990000,822,6.0,3.66868,3.27929,8.8976,-2.0294,2.6316,0,0,0,0,0,0
0,22990000,2856,20.0,11.0697,15.2644,7.10804,13.2191,17.8802,0,0,0,0,0,0
0,22990000,1216,9.0,0.548918,3.14802,5.89355,-2.3988,2.2623,0,0,0,0,0,0
0,22990000,823,6.0,3.61549,3.66716,8.78818,-5.4992,-0.8381,0,0,0,0,0,0
0,22990000,2631,18.0,2.10168,1.47581,5.39467,-10.7942,-6.1332,0,0,0,0,0,0
0,22990000,785,6.0,7.43889,13.4904,7.42912,-5.0477,-0.3867,0,0,0,0,0,0
0,22990000,2636,18.0,0.566965,1.61919,4.83315,2.069,6.7301,0,0,0,0,0,0
0,22990000,198,2.0,3.84407,10.2289,0.602043,4.8222,9.4832,0,0,0,0,0,0
0,22990000,2661,18.0,14.9686,6.54927,4.48897,1.3897,6.0508,0,0,0,0,0,0
0,22990000,2660,18.0,14.6393,6.75144,4.41358,-0.3232,4.3379,0,0,0,0,0,0
0,22990000,8541,57.0,14.3205,4.324,10.077,3.5537,8.2147,0,0,0,0,0,0
0,22990000,8540,57.0,14.5795,4.37797,10.3722,-6.4846,-1.8235,0,0,0,0,0,0
0,22990000,8539,57.0,14.5722,4.07336,10.6153,-9.033,-4.372,0,0,0,0,0,0
0,22990000,8538,57.0,14.839,4.08229,10.9005,-7.4416,-2.7805,0,0,0,0,0,0
0,22990000,8537,57.0,14.8578,3.76186,11.1295,-6.7214,-2.0604,0,0,0,0,0,0
0,22990000,5375,36.0,14.8931,15.8831,12.1326,6.9311,11.5922,0,0,0,0,0,0
0,22990000,210,2.0,6.85808,10.3721,1.55533,-6.3564,-1.6954,0,0,0,0,0,0
0,22990000,5374,36.0,15.144,15.96,11.837,7.5812,12.2423,0,0,0,0,0,0
0,22990000,8533,57.0,15.592,3.234,12.1055,-9.3866,-4.7255,0,0,0,0,0,0
0,22990000,8535,57.0,15.2387,3.51428,11.602,-6.944,-2.2829,0,0,0,0,0,0
0,22990000,8532,57.0,15.7318,3.28505,12.4691,-6.789,-2.1279,0,0,0,0,0,0
0,22990000,8534,57.0,15.383,3.5338,11.9708,-11.0777,-6.4166,0,0,0,0,0,0
0,22990000,8536,57.0,15.0526,3.83331,11.4635,-6.9407,-2.2797,0,0,0,0,0,0
0,22990000,8531,57.0,15.8738,2.95197,12.6094,-6.8286,-2.1676,0,0,0,0,0,0
0,22990000,2659,18.0,14.4205,6.59562,4.1362,-1.7762,2.8848,0,0,0,0,0,0
0,22990000,2634,18.0,1.13302,1.61638,5.15262,-0.6657,3.9954,0,0,0,0,0,0
0,22990000,2616,18.0,6.02978,1.2217,7.49857,-0.4616,4.1995,0,0,0,0,0,0
0,22990000,1217,9.0,16.079,2.86884,5.83134,-3.5969,1.0641,0,0,0,0,0,0
0,22990000,1219,9.0,15.4521,2.67939,5.69963,2.6859,7.347,0,0,0,0,0,0
