step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6
3600,36000000,7701,52,9.186046,0.734321,12.573591,-6.829,0.5956,0.0348953885355078,0.175465793690464,0.226225387989857,0.0775939348782776,0.0792236936038452,0.407727,13,-2.35786060606061,1,-7.0355,-5.98283333333334,-6.54309090909091,-6.91376923076923,-6.57319565217391,-7.5568947368421
3600,36000000,7702,52,9.008816,0.993591,12.348391,-7.258,0.7619,0.0334431378855358,0.190012179741549,0.26074126871642,0.0907223956452971,0.0923650165036905,0.440834,15,-2.87774307692308,1,-7.446,-6.81028571428571,-7.55091666666667,-6.35317391304348,-7.71910869565218,-7.59671951219512
3600,36000000,7703,52,8.788716,1.218231,12.581891,-7.319,0.83,0.0338055617926885,0.191550494932426,0.276492765270517,0.091565608577418,0.0958482268132701,0.414585,15,-3.55016388888889,1,-6.94725,-6.6972,-7.4775,-6.93196153846154,-7.86889743589744,-7.66001204819277
3600,36000000,7704,52,8.594616,1.529731,12.432491,-7.767,0.8922,0.032598807466112,0.204331906876599,0.309275267093047,0.111004679930429,0.104690163641872,0.431528,16,-3.68591052631579,1,-8.45025,-7.28683333333333,-8.11089285714286,-7.15984615384615,-8.2101568627451,-8.08797435897436
3600,36000000,7705,52,8.373066,1.723841,12.703491,-7.801,0.9107,0.042456411512119,0.195121408045924,0.303837561583822,0.110736553253079,0.102653840801334,0.439423,14,-4.27632375,1,-9.19275,-8.31133333333333,-7.62103703703704,-7.79081818181818,-7.98677777777778,-8.24037837837838
3600,36000000,7706,52,8.185286,2.020971,12.527791,-8.301,0.9618,0.0351620757444836,0.199232503528529,0.316248619823947,0.121203541263749,0.110111821631451,0.40949,13,-4.80063037974684,1,-8.354,-7.747,-8.89307692307692,-7.78479310344828,-8.14653125,-8.62905633802817
3600,36000000,7707,52,7.981076,2.242321,12.760191,-8.338,0.9702,0.0367323921598974,0.189590442707131,0.309154769659494,0.115691947039905,0.105047182824472,0.418691,15,-4.80618795180723,1,-7.849,-10.342,-8.20358064516129,-8.3309696969697,-8.1957962962963,-8.32386301369863
3600,36000000,7708,52,7.810326,2.560391,12.613291,-8.594,0.9749,0.0296476427453098,0.187257528986254,0.312781199033218,0.121350535144995,0.111578688128314,0.422974,14,-4.8996511627907,1,-9.693,-8.3015,-9.20296875,-8.31784615384615,-8.16830158730159,-8.49483116883117
3600,36000000,7709,52,7.561606,2.742641,12.865591,-8.39,0.9679,0.0298493092243956,0.179382769796617,0.314624180888746,0.119405803748206,0.107696367370019,0.399629,14,-4.84280365853659,1,-9.43875,-10.5465,-9.11307142857143,-8.17984848484849,-8.27461818181818,-7.94162025316456
3600,36000000,7710,52,7.441706,3.087631,12.735791,-8.576,0.9793,0.0248650012782295,0.174113987851701,0.312455290257074,0.11982762290074,0.105590684484184,0.40052,14,-4.98508953488372,1,-9.48175,-10.6608571428571,-9.54136666666667,-7.54331034482759,-8.35398214285714,-8.14381927710844
3600,36000000,7711,52,7.154896,3.253601,12.942191,-8.467,0.9709,0.0265849451518193,0.165439525510962,0.317074460104908,0.11821632513005,0.100551939376213,0.380483,15,-4.3773380952381,1,-10.99625,-9.96416666666667,-9.48768965517242,-7.97611764705882,-7.95840350877193,-8.3537875
3600,36000000,7712,52,7.078266,3.619631,12.815691,-8.621,0.9579,0.0232964452242616,0.161283960437681,0.303980283610847,0.116533567878567,0.0924000230178752,0.397013,15,-4.75477058823529,1,-10.14125,-9.64411111111111,-9.60306896551724,-7.60321428571429,-8.31790163934426,-8.06820987654321
3600,36000000,7713,52,6.734736,3.780841,12.933891,-8.428,0.9668,0.0253506013747747,0.156651453901062,0.311613376936627,0.117510620733604,0.0873562503570477,0.380514,15,-4.39606506024096,1,-9.94125,-9.17033333333333,-9.29112903225806,-7.46210714285714,-8.33956060606061,-8.00363291139241
3600,36000000,7714,52,6.695356,4.154721,12.855091,-8.351,0.9659,0.022141176827088,0.156373480663782,0.295265318783485,0.116367678067682,0.081914317886157,0.376363,14,-4.69781728395062,1,-11.39075,-8.192,-9.05453333333333,-7.92641935483871,-8.26646551724138,-7.95786419753086
3600,36000000,7715,52,6.343636,4.313041,12.972491,-8.223,0.9642,0.021811921581422,0.155392404119341,0.291123620515284,0.114890596794665,0.0773120185634969,0.389167,16,-4.74341927710843,1,-9.975,-8.075625,-8.61806896551724,-7.87789655172414,-8.142,-8.0195421686747
3600,36000000,7716,52,6.273106,4.687881,12.898091,-8.054,0.9362,0.0203663829142784,0.160829140855549,0.283803747895899,0.113815690816581,0.0771527288742794,0.352839,12,-4.38894444444444,1,-8.90375,-8.515,-8.05492857142857,-8.20916666666667,-7.95201724137931,-7.87054444444444
3600,36000000,7717,52,5.917076,4.849981,12.973091,-7.939,0.8896,0.0186436327378811,0.161340773609067,0.278323307271449,0.110004090959431,0.0798543233232736,0.410092,15,-4.12920740740741,1,-9.27625,-7.59942857142857,-7.69451612903226,-7.91011111111111,-8.33459090909091,-7.78120731707317
3600,36000000,7718,52,5.944166,5.229871,13.092791,-7.72,0.8935,0.0139204032562596,0.165577164833741,0.269997601068688,0.115654625268092,0.0883457566355138,0.369188,15,-4.01653924050633,1,-8.99,-8.3993,-6.92718518518519,-7.87353846153846,-7.66124590163934,-7.93798837209302
3600,36000000,7719,52,5.586036,5.361991,13.175991,-7.627,0.9205,0.0195278447941064,0.169356735611277,0.267372609195735,0.106824301061483,0.0813872818379199,0.379395,15,-3.85956923076923,1,-9.769,-6.45211111111111,-7.17626666666667,-8.16154545454545,-7.75447692307692,-7.51636470588235
3600,36000000,7720,52,5.539016,5.737201,13.201191,-7.381,0.8958,0.0179661569443475,0.168677476080222,0.260823683593828,0.109342541406563,0.0902762756885973,0.361377,15,-3.266895,1,-9.524,-6.73966666666667,-7.73137931034483,-7.32973076923077,-7.12332203389831,-7.39667073170732
3600,36000000,7721,52,5.166856,5.834331,13.234991,-7.291,0.8729,0.0171048581082292,0.159500114693037,0.242497540349191,0.0898439332456743,0.0691248567525457,0.381203,16,-2.66863896103896,1,-8.125,-7.42516666666667,-7.5198125,-7.33139130434783,-7.29183928571429,-7.21535164835165
3600,36000000,7722,52,5.121566,6.217751,13.243091,-7.121,0.7636,0.0162744498903698,0.150943001892039,0.233765715905141,0.0837511647619516,0.0752581930811496,0.397192,17,-2.6848,1,-9.904,-8.27628571428571,-7.213,-6.758,-7.00451923076923,-6.90883146067416
3600,36000000,7723,52,4.752286,6.272901,13.342091,-7.163,0.6606,0.0135301310648782,0.15264090154037,0.22000629671372,0.0697381287638091,0.0633639569353897,0.375932,15,-2.0081141025641,1,-12.41375,-7.66333333333333,-7.22362962962963,-6.2941724137931,-7.11763636363636,-6.8940375
3600,36000000,7724,52,4.686386,6.674471,13.341591,-6.883,0.6095,0.0195590458992748,0.136587576188692,0.214999531610901,0.0736666100152168,0.067824897216532,0.391507,16,-1.97634459459459,1,-10.0305,-7.77744444444445,-6.76925,-6.22345454545455,-6.85805660377359,-6.72690588235294
3600,36000000,7725,52,4.322096,6.807681,13.392391,-6.826,0.5889,0.0196521327038263,0.115032873648729,0.178177929654496,0.0654874255154314,0.0488677019414528,0.350826,16,-1.03295205479452,1,-9.4705,-7.3001,-6.41634482758621,-6.57154545454546,-7.09206666666667,-6.45232467532468
3600,36000000,7726,52,4.287176,7.183351,13.477391,-6.622,0.4641,0.0257204929274473,0.105410981211582,0.165083018528763,0.0666987816604871,0.0501800169500238,0.364538,14,-0.943967105263158,1,-10.21375,-5.52333333333333,-6.4838,-6.788375,-6.58266666666667,-6.42332911392405
3600,36000000,7727,52,3.925406,7.322761,13.455491,-6.561,0.3338,0.026026701152218,0.0975633651588663,0.146666457713055,0.0603674505059882,0.0483086903652817,0.351074,14,-0.769630555555556,1,-8.98225,-6.10277777777778,-6.37217391304348,-6.68664,-6.881875,-6.2447012987013
3600,36000000,7728,52,3.932586,7.706571,13.555691,-6.42,0.1949,0.026179259605748,0.0831014190539388,0.127188610425666,0.0616815598144709,0.0536308635310557,0.457966,17,-0.349675675675676,1,-6.60475,-5.92857142857143,-6.84670833333334,-6.05832258064516,-6.73186363636364,-6.36295294117647
3600,36000000,7729,52,3.572076,7.864221,13.504691,-6.348,0.1117,0.022959156050543,0.0884453778660101,0.10123169652774,0.0464871785912507,0.0487675896708486,0.356947,15,0.3626,1,-5.69725,-5.76581818181818,-6.86315789473684,-6.14148275862069,-6.12643859649123,-6.928984375
3600,36000000,7730,52,3.537636,8.250201,13.545291,-6.163,0.1976,0.0230254881899117,0.0936689684056318,0.109763354412343,0.0493901362286924,0.0592203088727891,0.415837,14,0.308564556962025,1,-6.4605,-6.45585714285714,-6.06395652173913,-5.81874193548387,-6.1905,-6.35355555555556
3600,36000000,7731,52,3.638276,8.379711,13.893791,-6.007,0.1069,0.0468878619465419,0.0694158835254392,0.0600787232380906,0.0357135836751424,0.0408185337239706,0.452966,15,0.768760256410257,1,-5.22133333333333,-5.50233333333333,-6.059,-5.99951428571429,-6.25094594594595,-6.08736507936508
3600,36000000,7732,52,3.615996,8.753611,13.952091,-6.026,-0.2038,0.0473195952199954,0.0965710411156868,0.0734638746033317,0.0371176056507237,0.0502266464129996,0.599101,28,0.784043421052632,1,-5.609,-5.60866666666667,-6.06244827586207,-5.6396875,-6.19068421052632,-6.22068965517241
3600,36000000,7733,52,3.894456,8.916591,13.746991,-6.138,-0.2096,0.0593272649994937,0.0979308161974,0.0821532948014541,0.0422885873207878,0.0542736398764957,0.456301,16,0.538615294117647,1,-7.12175,-5.96475,-6.22936363636364,-5.68571428571429,-6.34691176470588,-6.08059677419355
