step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_i,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6,Cluster_Label
1580,15800000,50,1,0.434762,13.702167,6.659118,-5.257,-0.0071,0.0365636507284408,0.0984043684029861,0.0782384629261547,0.0424109229870109,0.047630969147343,0.48723,14,0.999547058823529,0,-5.217,-3.96475,-5.6712,-5.94055555555556,-5.23748275862069,-5.12734146341463,-5.23808474576271,0
1580,15800000,51,1,0.3451,13.795567,6.289328,-5.347,-0.0657,0.0373823690784683,0.085343788373624,0.0730374650962016,0.042930770366285,0.039576540140517,0.4135,16,1.44241764705882,0,-5.205,-4.75,-6.393,-5.71058823529412,-5.0455,-5.26682051282051,-5.35693220338983,0
1580,15800000,52,1,0.307422,13.516867,6.024438,-5.35,0.086,0.0332596878388175,0.0782560165838348,0.0754822201682627,0.0414920611546533,0.0395759024650622,0.392916,16,0.762204285714286,0,-3.108,-6.7445,-5.975,-5.7906,-5.14706451612903,-5.00774285714286,-5.39353448275862,0
1580,15800000,53,1,0.615553,13.290767,5.960708,-5.308,0.0787,0.0122642019686719,0.0620510245505646,0.0820655567230662,0.0412818947220153,0.0393054858638991,0.49088,18,1.32216764705882,0,-6.259,-6.45025,-5.76425,-5.78788461538462,-5.38311538461539,-4.82541176470588,-5.08046376811594,0
1580,15800000,54,1,0.548711,13.049967,5.658798,-5.335,0.2267,0.0107610174681653,0.0556607149092191,0.0737710219754996,0.0375250409766192,0.0377307306065189,0.446034,18,0.0072269841269841,0,-10.297,-5.0845,-5.088,-6.15454166666667,-5.3817037037037,-5.2193,-4.9729880952381,0
1580,15800000,55,1,0.555423,13.247967,5.324448,-5.476,0.2035,0.026080465704621,0.0743498346092223,0.0678003627075785,0.0358801895327124,0.032893252259338,0.366251,14,0.0169818181818181,0,-7.191,-5.4574,-4.7244,-5.93531818181818,-6.01688888888889,-5.152,-5.23933783783784,0
1580,15800000,56,1,0.441933,13.050667,5.004928,-5.653,0.2042,0.0278288359545708,0.061513448994692,0.0653895261517632,0.0331460804560288,0.0375337583051679,0.399917,15,-0.211416666666667,0,-3.78,-6.10975,-4.49883333333333,-5.9478,-6.16733333333333,-5.42471052631579,-5.30303333333333,0
1580,15800000,57,1,0.482028,13.268267,4.680148,-5.708,-0.0942,0.0370793552514325,0.0771370919652551,0.0813979839899142,0.0398638906264354,0.0354566107504657,0.489009,17,0.0294347826086957,0,-4.341,-4.36025,-6.79625,-5.91611764705882,-5.56578787878788,-5.588,-5.52107547169811,0
1580,15800000,58,1,0.32605,13.634067,4.711238,-5.58,-0.1825,0.0319540906750152,0.0877611326204443,0.083012779543395,0.0498553824241489,0.0354499281145732,0.397352,16,0.121775,0,-2.61,-4.718,-7.50725,-5.34347619047619,-5.90014285714286,-5.47383720930233,-5.3112037037037,0
1580,15800000,59,1,0.351966,13.854267,4.391808,-5.507,-0.0856,0.0268334522587793,0.085519605608063,0.0875147983360695,0.0502373748530839,0.0386893669169938,0.547002,16,0.273892537313433,0,-3.86,-4.913,-5.031,-6.05395,-5.44889285714286,-5.57283333333333,-5.49241509433962,0
1580,15800000,60,1,0.088162,14.145667,4.349308,-5.606,-0.1263,0.0349244619693494,0.0901654851722145,0.092926386995202,0.065968950672452,0.042330322493056,0.462272,16,0.286026470588235,0,-4.418,-4.91766666666667,-3.8048,-5.51419047619048,-5.91058620689655,-5.47593103448276,-5.62696721311475,0
1580,15800000,61,1,0.128659,14.388067,4.045838,-5.621,-0.176,0.0506131864174788,0.104097371648235,0.103580666741423,0.0656306040977508,0.0402362007531017,0.481763,16,0.290906557377049,0,-8.283,-3.822,-4.075,-4.76238461538462,-6.1519696969697,-5.753,-5.54775,0
1580,15800000,62,1,15.626198,14.588667,3.980988,-5.678,-0.0543,0.0405276307288142,0.114678972656586,0.118856061877705,0.0654721771517242,0.047469953474894,0.38864,13,0.421427586206897,0,-3.188,-5.87366666666667,-5.13742857142857,-4.841,-5.40938461538462,-5.6762380952381,-6.0539,0
1580,15800000,63,1,15.628698,14.819567,3.665658,-5.639,-0.0373,0.040389257234487,0.121644457740442,0.105718133418373,0.0563081601512808,0.0503358103782785,0.566697,22,0.900154237288136,0,-5.569,-3.66366666666667,-5.82,-5.16184210526316,-5.59619230769231,-5.22630303030303,-6.04066666666667,0
1580,15800000,64,1,15.417798,15.147767,3.708058,-5.546,-0.055,0.0295685521906296,0.105820120785468,0.106024713246091,0.041405685065617,0.051413668044404,0.444002,16,0.588771428571429,0,-3.769,-4.32925,-6.273,-5.7024375,-5.08728,-5.87526470588235,-5.50806779661017,0
1580,15800000,65,1,15.455098,15.428367,3.444358,-5.583,-0.0103,0.0394663112608569,0.102051532593598,0.0974084502848623,0.0404839871669025,0.0436236651549848,0.495912,16,0.880917857142857,0,-4.034,-4.62133333333333,-5.054,-5.92025,-5.20523076923077,-5.46309090909091,-5.86095081967213,0
1580,15800000,66,1,15.194498,15.707667,3.534288,-5.667,-0.0156,0.0252716938418377,0.115687485391186,0.131475672406539,0.0567453164895834,0.0422967132790048,0.417847,15,0.5593,0,-4.526,-4.90766666666667,-4.6095,-5.76036842105263,-6.11594444444445,-5.52607692307692,-5.70525,0
