step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi,S_ave_0.4to0.8,S_ave_0.8to1.1,S_ave_1.1to1.5,S_ave_1.5to1.9,S_ave_1.9to2.3,S_ave_2.3to2.7
1,23000000,51,1.0,15.2185,11.1959,11.5753,-8.61,0.0,0.0,0.0,0.0,0.0,0.0,-5.502,-4.7861666666666665,-4.975777777777778,-5.354257142857143,-5.507538461538461,-5.266203389830507
1,23000000,52,1.0,15.1104,10.8356,11.4573,-7.649,0.0,0.0,0.0,0.0,0.0,0.0,-5.846,-4.7299999999999995,-5.17832,-5.22716129032258,-5.336419354838709,-5.052563380281688
1,23000000,53,1.0,15.0282,10.8133,11.0757,-5.305,0.0,0.0,0.0,0.0,0.0,0.0,-6.8905,-4.474571428571428,-5.163857142857142,-5.44203448275862,-4.8212,-4.964075757575757
1,23000000,54,1.0,15.2831,10.9786,10.8397,-5.279,0.0,0.0,0.0,0.0,0.0,0.0,-6.00525,-5.225333333333334,-5.387157894736842,-5.19740625,-5.146641025641025,-5.160191176470589
1,23000000,55,1.0,15.2612,10.8243,10.4725,-6.024,0.0,0.0,0.0,0.0,0.0,0.0,-4.8229999999999995,-5.249857142857143,-5.800055555555556,-5.143878787878789,-4.914255813953488,-5.265810344827586
1,23000000,56,1.0,15.4296,11.0318,10.1852,-5.043,0.0,0.0,0.0,0.0,0.0,0.0,-5.1145000000000005,-4.857166666666667,-6.063714285714284,-5.593464285714285,-4.815642857142858,-5.259380281690142
1,23000000,57,1.0,15.3251,10.9218,9.82107,-3.665,0.0,0.0,0.0,0.0,0.0,0.0,-5.245,-4.914142857142856,-5.356,-5.901962962962962,-5.138734693877551,-5.050090909090909
1,23000000,58,1.0,15.5194,11.0966,9.519,-5.49,0.0,0.0,0.0,0.0,0.0,0.0,-4.79525,-6.250666666666667,-5.607086956521739,-5.420117647058824,-5.641222222222222,-4.962410714285714
1,23000000,59,1.0,15.4069,11.0619,9.14497,-4.423,0.0,0.0,0.0,0.0,0.0,0.0,-5.434,-5.748857142857143,-5.50747619047619,-5.551290322580646,-5.241133333333333,-5.38241935483871
1,23000000,60,1.0,15.6858,11.1393,8.88999,-6.05,0.0,0.0,0.0,0.0,0.0,0.0,-6.151666666666666,-6.035,-5.548714285714286,-5.628454545454545,-5.065325,-5.7015142857142855
1,23000000,61,1.0,15.7492,11.5091,8.8944,-6.531,0.0,0.0,0.0,0.0,0.0,0.0,-7.7459999999999996,-6.0760000000000005,-5.988071428571429,-5.223566666666667,-5.400363636363637,-5.388868421052632
1,23000000,62,1.0,16.0023,11.608,8.61301,-8.542,0.0,0.0,0.0,0.0,0.0,0.0,-7.379,-6.037,-6.244999999999999,-5.141115384615385,-5.371359375000001,-5.595849999999999
1,23000000,63,1.0,0.555184,11.4329,8.61699,-10.273,0.0,0.0,0.0,0.0,0.0,0.0,-6.9094999999999995,-5.26075,-6.2697,-5.260478260869565,-5.342557692307692,-5.6126805555555555
